drug_id,drug_name,moa_class,cancer_type,split,in_kg,has_ChEMBL,has_PrimeKG,kg_degree_ChEMBL,kg_degree_PrimeKG,n_patients,mean_vh_fp,std_vh_fp,mean_vh_kg,std_vh_kg,pearson_r,pearson_p,spearman_r,spearman_p,mean_abs_diff,delta_mean_vh
1040,gefitinib,EGFR inhibitor,TCGA-LUAD,train,True,1.0,1.0,6.0,136.0,590,0.48949387669563293,0.029131567105650902,0.4621732532978058,0.030000118538737297,0.7473098972089549,1.822584452857975e-106,0.7292357069080435,5.815076434473909e-99,0.029561569914221764,-0.02732062339782715
1041,gefitinib,EGFR inhibitor,TCGA-LUAD,train,False,0.0,0.0,0.0,0.0,590,0.48949387669563293,0.029131567105650902,,,,,,,,
762,osimertinib,EGFR inhibitor,TCGA-LUAD,train,True,1.0,1.0,6.0,10.0,590,0.4908705949783325,0.023985927924513817,0.46752986311912537,0.03483195975422859,0.654568925187747,1.8695519926057272e-73,0.6351196992906898,5.873807630484381e-68,0.03000655025243759,-0.023340731859207153
1062,afatinib,EGFR inhibitor,TCGA-LUAD,train,True,0.0,1.0,0.0,18.0,590,0.48562270402908325,0.03569263219833374,0.45573896169662476,0.05194234475493431,0.796785407427412,9.460786278527683e-131,0.7698051124263744,9.470883139515354e-117,0.03723809868097305,-0.029883742332458496
1063,afatinib,EGFR inhibitor,TCGA-LUAD,train,False,0.0,0.0,0.0,0.0,590,0.48562270402908325,0.03569263219833374,,,,,,,,
1130,erlotinib,EGFR inhibitor,TCGA-LUAD,test,False,0.0,0.0,0.0,0.0,590,0.49436935782432556,0.027250180020928383,,,,,,,,
1129,erlotinib,EGFR inhibitor,TCGA-LUAD,test,True,1.0,1.0,12.0,244.0,590,0.49436935782432556,0.027250180020928383,0.47027960419654846,0.02402232401072979,0.8443390227860195,1.7712637953281424e-161,0.8372064522264049,3.003963918649327e-156,0.02462860941886902,-0.0240897536277771
946,dacomitinib,EGFR inhibitor,TCGA-LUAD,test,True,1.0,1.0,14.0,18.0,590,0.48767757415771484,0.02782217040657997,0.4596918523311615,0.03206632658839226,0.7869228970123124,2.1360269252831642e-125,0.768931146690606,2.4983845381379047e-116,0.030116207897663116,-0.027985721826553345
1332,neratinib,EGFR inhibitor,TCGA-LUAD,test,True,1.0,1.0,14.0,16.0,590,0.4867304861545563,0.03373975306749344,0.4611383080482483,0.036671124398708344,0.8148542548168219,2.260107816178995e-141,0.8111216461360276,4.382915373789765e-139,0.028564101085066795,-0.025592178106307983
486,lapatinib,EGFR inhibitor,TCGA-LUAD,train,False,0.0,0.0,0.0,0.0,590,0.4880499243736267,0.026184238493442535,,,,,,,,
485,lapatinib,EGFR inhibitor,TCGA-LUAD,train,True,0.0,1.0,0.0,138.0,590,0.4880499243736267,0.026184238493442535,0.4674139618873596,0.025595901533961296,0.8200316427941194,1.2409522416217756e-144,0.7917259949573082,5.73605978278364e-128,0.02205612324178219,-0.02063596248626709
365,trametinib,MEK inhibitor,TCGA-SKCM,train,True,1.0,1.0,12.0,28.0,473,0.49927884340286255,0.02215217798948288,0.4852951169013977,0.04550056532025337,0.7823616205991247,6.5680129358589995e-99,0.7875570441244042,4.376585974495293e-101,0.027936330065131187,-0.013983726501464844
366,trametinib,MEK inhibitor,TCGA-SKCM,test,False,0.0,0.0,0.0,0.0,473,0.49927884340286255,0.02215217798948288,,,,,,,,
244,cobimetinib,MEK inhibitor,TCGA-SKCM,train,True,1.0,1.0,10.0,88.0,473,0.4990428686141968,0.018846239894628525,0.4911159574985504,0.039679061621427536,0.7768002158677692,1.206594030949016e-96,0.7681827933919761,2.9077035292594335e-93,0.02302708476781845,-0.007926911115646362
944,selumetinib,MEK inhibitor,TCGA-SKCM,train,True,1.0,1.0,14.0,34.0,473,0.5010431408882141,0.02246403880417347,0.49536189436912537,0.04390813410282135,0.7184212943283744,2.895674469132313e-76,0.7300927855766872,6.5671361995223356e-80,0.02573971077799797,-0.005681246519088745
850,PD-0325901,MEK inhibitor,TCGA-SKCM,train,True,1.0,1.0,10.0,30.0,473,0.500825047492981,0.019965950399637222,0.49549567699432373,0.04590417817234993,0.7769021011493773,1.0981757354860858e-96,0.7886566502755764,1.4882337858087292e-101,0.02647220902144909,-0.0053293704986572266
700,AZD8330,MEK inhibitor,TCGA-SKCM,test,True,1.0,0.0,22.0,0.0,473,0.49857303500175476,0.018395407125353813,0.4942654073238373,0.04001939669251442,0.7367108648457835,4.622958563201808e-82,0.7530106778708486,1.1876126984094853e-87,0.023556038737297058,-0.0043076276779174805
