gene_name,mean_delta_auc,max_delta_auc,frac_sensitising,n_drugs,cancer_type,drugs
NEAT1,0.0009450196521355999,0.0011699658352881,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
YBX3,0.0005363700765883,0.0006895662518218,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MT1X,0.0005230169044807,0.0006597606115974,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
AGRN,0.00051679584430525,0.0007316268747672,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
ANXA2,0.0005112892395118,0.0007132897735573,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
SAT1,0.0005040621654188,0.0009037671843543,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
LMNA,0.0005022553086746,0.0005276670563034,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
TCEAL4,0.0004862384521402,0.0004926126566715,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
CKAP4,0.00047821812040635,0.0006784735014662,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
PRNP,0.00045483492431225,0.0005346370162442,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MTSS2,0.0004531292943283,0.0005722946370951,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
AHNAK,0.00043306020961605,0.000513011298608,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MT2A,0.00041142522240984996,0.0004955301992595,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
P4HA2,0.00039870740147305,0.000424232770456,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
JAG1,0.00039319564530155003,0.0006383251748047,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
PON2,0.0003930959355784,0.0005108824116177,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
MARCKSL1,0.00038621052226514997,0.000429419305874,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
JUN,0.00038541843241545,0.0004918015329167,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
HSPB1,0.00038477261114165,0.0006360748084262,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
S100A10,0.0003844692691927,0.0003885234182234,0.0,2,Acute Myeloid Leukemia,"Venetoclax,Cytarabine"
